category_original,category_djinni,experience_original,experience_label,salary_min,salary_max,country,scrape_date,source
asp.net web developer,dotnet_web,Senior,5+ років,,,DE,2026-05-19,adzuna
drupal developer,drupal,Middle,2-3 роки,,,DE,2026-05-19,adzuna
drupal developer,drupal,Senior,5+ років,,,DE,2026-05-19,adzuna
elixir developer,elixir,Middle,2-3 роки,,,DE,2026-05-19,adzuna
elixir developer,elixir,Senior,5+ років,,,DE,2026-05-19,adzuna
embedded software engineer,embedded,Middle,2-3 роки,,,DE,2026-05-19,adzuna
embedded software engineer,embedded,Senior,5+ років,,,DE,2026-05-19,adzuna
software engineering manager,engineering_manager,Middle,2-3 роки,,,DE,2026-05-19,adzuna
software engineering manager,engineering_manager,Senior,5+ років,,,DE,2026-05-19,adzuna
erp developer,erp_systems,Middle,2-3 роки,,,DE,2026-05-19,adzuna
erp developer,erp_systems,Senior,5+ років,,,DE,2026-05-19,adzuna
finance manager,finance_manager,Middle,2-3 роки,,,DE,2026-05-19,adzuna
finance manager,finance_manager,Senior,5+ років,,,DE,2026-05-19,adzuna
financial analyst,finances,Middle,2-3 роки,,,DE,2026-05-19,adzuna
financial analyst,finances,Senior,5+ років,5179.0,6121.0,DE,2026-05-19,adzuna
financial analyst,financial_analyst,Middle,2-3 роки,,,DE,2026-05-19,adzuna
financial analyst,financial_analyst,Senior,5+ років,5179.0,6121.0,DE,2026-05-19,adzuna
flutter developer,flutter,Middle,2-3 роки,,,DE,2026-05-19,adzuna
flutter developer,flutter,Senior,5+ років,,,DE,2026-05-19,adzuna
fullstack developer,fullstack,Middle,2-3 роки,,,DE,2026-05-19,adzuna
fullstack developer,fullstack,Senior,5+ років,,,DE,2026-05-19,adzuna
game designer,game_design,Middle,2-3 роки,,,DE,2026-05-19,adzuna
game designer,game_design,Senior,5+ років,,,DE,2026-05-19,adzuna
game developer,game_developer,Middle,2-3 роки,,,DE,2026-05-19,adzuna
game developer,game_developer,Senior,5+ років,,,DE,2026-05-19,adzuna
unity developer,gamedev,Middle,2-3 роки,,,DE,2026-05-19,adzuna
unity developer,gamedev,Senior,5+ років,,,DE,2026-05-19,adzuna
golang developer,golang,Middle,2-3 роки,,,DE,2026-05-19,adzuna
golang developer,golang,Senior,5+ років,,,DE,2026-05-19,adzuna
graphic designer,graphic_design,Middle,2-3 роки,,,DE,2026-05-19,adzuna
graphic designer,graphic_design,Senior,5+ років,,,DE,2026-05-19,adzuna
head of software engineering,head_chief,Middle,2-3 роки,,,DE,2026-05-19,adzuna
head of software engineering,head_chief,Senior,5+ років,,,DE,2026-05-19,adzuna
hr manager,hr,Middle,2-3 роки,,,DE,2026-05-19,adzuna
hr manager,hr,Senior,5+ років,,,DE,2026-05-19,adzuna
illustrator designer,illustrator,Middle,2-3 роки,,,DE,2026-05-19,adzuna
illustrator designer,illustrator,Senior,5+ років,,,DE,2026-05-19,adzuna
information security engineer,information_security,Middle,2-3 роки,,,DE,2026-05-19,adzuna
information security engineer,information_security,Senior,5+ років,,,DE,2026-05-19,adzuna
ios developer,ios,Middle,2-3 роки,,,DE,2026-05-19,adzuna
ios developer,ios,Senior,5+ років,,,DE,2026-05-19,adzuna
java developer,java,Middle,2-3 роки,,,DE,2026-05-19,adzuna
java developer,java,Senior,5+ років,,,DE,2026-05-19,adzuna
javascript developer,javascript,Middle,2-3 роки,,,DE,2026-05-19,adzuna
javascript developer,javascript,Senior,5+ років,,,DE,2026-05-19,adzuna
kotlin developer,kotlin,Middle,2-3 роки,,,DE,2026-05-19,adzuna
kotlin developer,kotlin,Senior,5+ років,,,DE,2026-05-19,adzuna
laravel developer,laravel,Middle,2-3 роки,,,DE,2026-05-19,adzuna
laravel developer,laravel,Senior,5+ років,,,DE,2026-05-19,adzuna
tech lead,lead,Middle,2-3 роки,,,DE,2026-05-19,adzuna
tech lead,lead,Senior,5+ років,,,DE,2026-05-19,adzuna
